iteration_number,unreachable_points_number,recall
773,9362,0.991273
774,9379,0.991275
775,9395,0.991247
776,9399,0.991270
777,9406,0.991246
778,9410,0.991207
779,9417,0.991203
780,9425,0.991199
781,9438,0.991201
782,9451,0.991224
783,9461,0.991212
784,9470,0.991197
785,9478,0.991223
786,9488,0.991188
787,9500,0.991212
788,9513,0.991186
789,9523,0.991157
790,9531,0.991187
791,9545,0.991136
792,9558,0.991137
793,9569,0.991160
794,9580,0.991131
795,9590,0.991123
796,9609,0.991058
797,9621,0.991092
798,9630,0.991107
799,9638,0.991043
800,9651,0.991026
801,9664,0.991050
802,9676,0.991033
803,9690,0.990999
804,9701,0.990977
805,9713,0.990975
806,9721,0.990944
807,9725,0.990900
808,9744,0.990862
809,9757,0.990917
810,9769,0.990949
811,9784,0.990933
812,9793,0.990904
813,9806,0.990890
814,9827,0.990865
815,9835,0.990839
816,9844,0.990828
817,9854,0.990813
818,9856,0.990850
819,9870,0.990857
820,9882,0.990850
821,9885,0.990841
822,9896,0.990815
823,9909,0.990805
824,9920,0.990764
825,9934,0.990767
826,9947,0.990769
827,9955,0.990720
828,9971,0.990725
829,9993,0.990740
830,10003,0.990763
831,10015,0.990752
832,10030,0.990750
833,10041,0.990745
834,10046,0.990721
835,10053,0.990739
836,10070,0.990719
837,10081,0.990719
838,10089,0.990667
839,10096,0.990687
840,10103,0.990664
841,10120,0.990631
842,10124,0.990613
843,10138,0.990608
844,10145,0.990586
845,10158,0.990559
846,10166,0.990557
847,10178,0.990573
848,10190,0.990571
849,10199,0.990543
850,10214,0.990506
851,10224,0.990494
852,10234,0.990512
853,10241,0.990520
854,10251,0.990482
855,10260,0.990508
856,10280,0.990499
857,10294,0.990458
858,10300,0.990460
859,10309,0.990435
860,10322,0.990413
861,10334,0.990356
862,10351,0.990370
863,10357,0.990365
864,10371,0.990361
865,10380,0.990372
866,10386,0.990355
867,10401,0.990357
868,10409,0.990368
869,10428,0.990353
870,10435,0.990347
871,10453,0.990326
872,10462,0.990301
873,10469,0.990283
874,10489,0.990297
875,10513,0.990325
876,10530,0.990278
877,10545,0.990252
878,10557,0.990258
879,10565,0.990268
880,10575,0.990239
881,10585,0.990236
882,10601,0.990219
883,10617,0.990199
884,10633,0.990184
885,10644,0.990166
886,10652,0.990163
887,10669,0.990144
888,10682,0.990134
889,10696,0.990124
890,10709,0.990082
891,10721,0.990085
892,10735,0.990047
893,10746,0.990088
894,10756,0.990097
895,10766,0.990058
896,10773,0.990023
897,10782,0.989998
898,10799,0.990013
899,10816,0.990004
900,10826,0.989982
901,10841,0.989959
902,10852,0.989997
903,10859,0.989981
904,10871,0.989971
905,10882,0.989937
906,10887,0.989941
907,10898,0.989917
908,10911,0.989933
909,10918,0.989923
910,10933,0.989915
911,10949,0.989911
912,10959,0.989897
913,10969,0.989898
914,10978,0.989862
915,10984,0.989871
916,11007,0.989834
917,11012,0.989813
918,11025,0.989819
919,11037,0.989774
920,11051,0.989797
921,11066,0.989813
922,11077,0.989815
923,11092,0.989790
924,11101,0.989774
925,11109,0.989748
926,11120,0.989748
927,11123,0.989721
928,11135,0.989710
929,11144,0.989696
930,11156,0.989676
931,11166,0.989684
932,11182,0.989712
933,11192,0.989704
934,11196,0.989676
935,11215,0.989659
936,11226,0.989664
937,11235,0.989645
938,11245,0.989623
939,11257,0.989583
940,11275,0.989629
941,11285,0.989607
942,11298,0.989600
943,11304,0.989600
944,11312,0.989572
945,11321,0.989575
